name,accountName,balance,personalData/0/address,personalData/0/phone,personalData/0/birthday
Newton,UK687004817522419200,527096.18,Brogan Carroll Street 176,998830941,1952-7-18
Buckner,UK162365540923102800,334933.89,National Royce Place 135,728272576,1988-9-21
Casey,LV795184147468614400,424228.88,Logan Douglass Street 59,518993306,1996-7-1
Cain,ES425473746293979400,925511.37,Jeff Seton Place 136,392505396,1952-3-28
Liza,UK643763049713306100,119340.19,Barclay Debevoise Avenue 68,125692590,1987-10-16
Karla,AD615335215272966900,548655.05,Orick McKinley Avenue 14,955753674,1977-7-4
Thelma,US538260157158974660,310586.31,Beyerville Montague Terrace 42,351025327,1980-2-14
Erika,ES670966716336821800,235140.42,Fillmore Williamsburg Street 120,949818077,1978-8-30
Alta,UK878519526124282900,66944.46,Bridgetown Bleecker Street 90,364360878,1960-5-17
Carmela,US126366708803532340,110521.24,Colton Love Lane 97,212158295,1983-8-2
Collier,UK774724487392882700,910892.7,Wheaton Chestnut Street 58,911577927,1958-9-10
Ware,US702139858861023600,928493.18,Bath Crooke Avenue 164,613845310,1968-4-2
Peck,LT563391191771167170,321231.86,Wakarusa Metrotech Courtr 43,877739452,1971-1-21
Shannon,ES368157177943370000,503350.09,Southmont Kenilworth Place 50,937512932,1982-3-28
Terry,US864930849212400000,612503.38,Cascades Poplar Avenue 149,588441587,1969-11-18
Gale,ES960198529080324000,205315.98,Camino Commercial Street 122,226801833,1989-11-9
Millie,AD310819731990487700,754187.41,Walland Ide Court 6,326667111,1974-11-20
Jillian,ES661858973775443100,48529.01,Springhill Herkimer Place 125,670563813,1999-3-8
Johnson,AL859038394908170800,651552.51,Barstow Bartlett Place 123,278301964,1971-3-3
Waters,US194841279993747400,313984.88,Dodge Nova Court 85,890105742,1967-11-25
Ophelia,AL610817126032162600,988004.36,Brownlee Monitor Street 180,206248008,1962-6-27
Holmes,US361944717513359100,263482.75,Osage Hancock Street 89,230227066,1961-10-22
Cherie,UK557089012098275840,333739.33,Sanford Surf Avenue 0,242733912,1968-12-27
Dorsey,US722584092813698700,401527.6,Keyport Middleton Street 2,339730197,1982-4-2
Savage,UK131962523848576480,628413.75,Bourg Falmouth Street 68,683141201,1995-10-23
Adrian,ES602018486396465400,501932.59,Adamstown Ferris Street 137,721234421,2000-11-4
Walls,ES230844333548095600,932540.35,Takilma Ludlam Place 63,234574509,1997-1-30
Tabitha,US242081562065385600,877857.44,Teasdale Everit Street 117,206711627,1963-3-8
Katie,AD211965533124726460,102687.88,Richford Seacoast Terrace 163,691816753,1996-1-1
Brennan,LV287831182307122500,674546.58,Condon Gain Court 47,284651620,1987-4-2
Byrd,LT578914972811559400,378319.01,Jugtown Hinsdale Street 187,629593259,1989-1-2
Britt,LT326580166422720100,83103.61,Greenbush Vandervoort Avenue 51,621766053,1963-7-17
Sharpe,LV649074806355656000,869016.95,Darrtown Atlantic Avenue 103,348685663,1954-12-10
Sherri,AL289534191147154940,356536.49,Brookfield Dearborn Court 74,453053415,1957-2-2
Middleton,LT954464484507467400,486073.2,Slovan Belmont Avenue 38,672716930,1995-6-8
Elaine,ES723862486202674400,430016.77,Dyckesville Clay Street 179,481983663,1961-1-24
Frederick,AD984078760068750700,274923.07,Marysville Dodworth Street 9,110923214,1973-2-30
Tammy,LT463382028281376300,534453.52,Guthrie Maujer Street 78,787799168,1988-10-31
Bryant,AL971180488502638200,419049.97,Roland Remsen Avenue 30,932568494,1990-6-19
Olivia,AD942029105797909100,212440.75,Moraida Dahill Road 140,694609669,1973-7-28
Sims,US952448789319178500,570713.74,Bellamy Bragg Street 86,830100406,1984-9-5
Laura,LT855012134533358600,631058.65,Wolcott Middagh Street 83,399669539,1970-6-11
Valarie,US774654270238384000,32534.33,Sehili Varet Street 51,330236848,1976-4-26
Esther,AL606509273511438100,417600.96,Joppa Kansas Place 116,979221443,1959-9-9
Rich,AL983875207186137100,631332.71,Fingerville Lorraine Street 23,639382811,1981-9-13
Lora,AL734354320965928700,496676.74,Gibbsville Conover Street 44,844471796,1956-7-30
